Lagartija;dia;etapa;transecta;zona
1;1;2018;AG;Baja
3;1;2019;AG;Baja
2;1;2021;AG;Baja
4;2;2018;AG;Baja
5;2;2019;AG;Baja
8;2;2021;AG;Baja
0;3;2018;AG;Baja
9;3;2019;AG;Baja
17;3;2021;AG;Baja
0;4;2018;AG;Baja
4;4;2019;AG;Baja
14;4;2021;AG;Baja
4;5;2018;AG;Baja
7;5;2019;AG;Baja
8;5;2021;AG;Baja
1;6;2018;AG;Baja
6;6;2019;AG;Baja
8;6;2021;AG;Baja
1;7;2018;AG;Baja
10;7;2019;AG;Baja
16;7;2021;AG;Baja
