Column1;Station;Camera;Species;utm_y;utm_x;DateTimeOriginal;Date;Time;delta.time.secs;delta.time.mins;delta.time.hours;delta.time.days;Directory;FileName;metadata_SP;metadata_Observador_gato;n_images;metadata_Grupo;metadata_ID_gato;metadata_Gato;HierarchicalSubject
1;E01;E01;Gato;6216066;384545;30/08/2018 11:22;30/08/2018;11:22:01 a. m.;0;0;0;0;CamarasIMG18/E01;08300067.JPG;Gato;Ian;3;NA;NA;NA;SP|Gato, Observador_gato|Ian
2;E01;E01;Gato;6216066;384545;31/08/2018 11:57;31/08/2018;11:57:07 a. m.;88504;14751;246;1;CamarasIMG18/E01;08310073.JPG;Gato;Ian;3;NA;NA;NA;SP|Gato, Observador_gato|Ian
3;E01;E01;Gato;6216066;384545;01/09/2018 9:14;01/09/2018;9:14:31 a. m.;76642;12774;213;9;CamarasIMG18/E01;09010076.JPG;Gato;Ian;3;NA;NA;NA;SP|Gato, Observador_gato|Ian
4;E02;E02;Gato;6216150;384938;14/08/2018 21:29;14/08/2018;9:29:59 p. m.;0;0;0;0;CamarasIMG18/E02;08140167.JPG;Gato;Ian;6;NA;NA;NA;SP|Gato, Observador_gato|Ian
5;E03;E03;Gato;6216327;384865;20/08/2018 20:24;20/08/2018;8:24:16 p. m.;0;0;0;0;CamarasIMG18/E03;08200160.JPG;Gato;Ian;3;NA;NA;NA;SP|Gato, Observador_gato|Ian
6;E03;E03;Gato;6216327;384865;20/08/2018 21:20;20/08/2018;9:20:53 p. m.;3394;566;9;0;CamarasIMG18/E03;08200163.JPG;Gato;Ian;3;NA;NA;NA;SP|Gato, Observador_gato|Ian
7;E03;E03;Gato;6216327;384865;21/08/2018 1:07;21/08/2018;1:07:56 a. m.;13621;227;38;2;CamarasIMG18/E03;08210166.JPG;Gato;Ian;3;NA;NA;NA;SP|Gato, Observador_gato|Ian
8;E03;E03;Gato;6216327;384865;21/08/2018 2:21;21/08/2018;2:21:03 a. m.;4385;731;12;0;CamarasIMG18/E03;08210169.JPG;Gato;Ian;3;NA;NA;NA;SP|Gato, Observador_gato|Ian
9;E03;E03;Gato;6216327;384865;21/08/2018 3:12;21/08/2018;3:12:44 a. m.;3099;516;9;0;CamarasIMG18/E03;08210172.JPG;Gato;Ian;3;NA;NA;NA;SP|Gato, Observador_gato|Ian
10;E03;E03;Gato;6216327;384865;21/08/2018 3:51;21/08/2018;3:51:50 a. m.;2344;391;7;0;CamarasIMG18/E03;08210175.JPG;Gato;Ian;3;NA;NA;NA;SP|Gato, Observador_gato|Ian
11;E03;E03;Gato;6216327;384865;21/08/2018 4:00;21/08/2018;4:00:21 a. m.;509;85;1;0;CamarasIMG18/E03;08210178.JPG;Gato;Ian;3;NA;NA;NA;SP|Gato, Observador_gato|Ian
12;E03;E03;Gato;6216327;384865;21/08/2018 10:11;21/08/2018;10:11:56 a. m.;22293;3716;62;3;CamarasIMG18/E03;08210199.JPG;Gato;Ian;3;NA;NA;NA;SP|Gato, Observador_gato|Ian
13;E03;E03;Gato;6216327;384865;21/08/2018 14:15;21/08/2018;2:15:01 p. m.;14583;2431;41;2;CamarasIMG18/E03;08210226.JPG;Gato;Ian;3;NA;NA;NA;SP|Gato, Observador_gato|Ian
14;E03;E03;Gato;6216327;384865;21/08/2018 14:53;21/08/2018;2:53:58 p. m.;2335;389;6;0;CamarasIMG18/E03;08210232.JPG;Gato;Ian;3;NA;NA;NA;SP|Gato, Observador_gato|Ian
15;E03;E03;Gato;6216327;384865;21/08/2018 14:59;21/08/2018;2:59:03 p. m.;303;5;1;0;CamarasIMG18/E03;08210235.JPG;Gato;Ian;3;NA;NA;NA;SP|Gato, Observador_gato|Ian
16;E03;E03;Gato;6216327;384865;21/08/2018 20:14;21/08/2018;8:14:52 p. m.;18947;3158;53;2;CamarasIMG18/E03;08210259.JPG;Gato;Ian;3;NA;NA;NA;SP|Gato, Observador_gato|Ian
17;E03;E03;Gato;6216327;384865;21/08/2018 20:19;21/08/2018;8:19:13 p. m.;259;43;1;0;CamarasIMG18/E03;08210262.JPG;Gato;Ian;3;NA;NA;NA;SP|Gato, Observador_gato|Ian
18;E03;E03;Gato;6216327;384865;21/08/2018 20:38;21/08/2018;8:38:40 p. m.;1165;194;3;0;CamarasIMG18/E03;08210265.JPG;Gato;Ian;3;NA;NA;NA;SP|Gato, Observador_gato|Ian
19;E03;E03;Gato;6216327;384865;22/08/2018 2:29;22/08/2018;2:29:54 a. m.;21072;3512;59;2;CamarasIMG18/E03;08220268.JPG;Gato;Ian;3;NA;NA;NA;SP|Gato, Observador_gato|Ian
20;E03;E03;Gato;6216327;384865;22/08/2018 3:02;22/08/2018;3:02:51 a. m.;1975;329;5;0;CamarasIMG18/E03;08220271.JPG;Gato;Ian;3;NA;NA;NA;SP|Gato, Observador_gato|Ian
21;E03;E03;Gato;6216327;384865;22/08/2018 3:45;22/08/2018;3:45:49 a. m.;2576;429;7;0;CamarasIMG18/E03;08220274.JPG;Gato;Ian;3;NA;NA;NA;SP|Gato, Observador_gato|Ian
22;E03;E03;Gato;6216327;384865;22/08/2018 9:52;22/08/2018;9:52:19 a. m.;21988;3665;61;3;CamarasIMG18/E03;08220286.JPG;Gato;Ian;3;NA;NA;NA;SP|Gato, Observador_gato|Ian
23;E03;E03;Gato;6216327;384865;22/08/2018 12:41;22/08/2018;12:41:06 p. m.;10125;1688;28;1;CamarasIMG18/E03;08220301.JPG;Gato;Ian;3;NA;NA;NA;SP|Gato, Observador_gato|Ian
24;E03;E03;Gato;6216327;384865;22/08/2018 13:15;22/08/2018;1:15:23 p. m.;2055;342;6;0;CamarasIMG18/E03;08220307.JPG;Gato;Ian;3;NA;NA;NA;SP|Gato, Observador_gato|Ian
25;E03;E03;Gato;6216327;384865;22/08/2018 18:44;22/08/2018;6:44:03 p. m.;19718;3286;55;2;CamarasIMG18/E03;08220370.JPG;Gato;Ian;6;NA;NA;NA;SP|Gato, Observador_gato|Ian
26;E03;E03;Gato;6216327;384865;22/08/2018 18:48;22/08/2018;6:48:10 p. m.;233;39;1;0;CamarasIMG18/E03;08220376.JPG;Gato;Ian;3;NA;NA;NA;SP|Gato, Observador_gato|Ian
27;E03;E03;Gato;6216327;384865;23/08/2018 3:16;23/08/2018;3:16:42 a. m.;30510;5085;85;4;CamarasIMG18/E03;08230379.JPG;Gato;Ian;3;NA;NA;NA;SP|Gato, Observador_gato|Ian
28;E03;E03;Gato;6216327;384865;23/08/2018 4:08;23/08/2018;4:08:05 a. m.;3081;514;9;0;CamarasIMG18/E03;08230382.JPG;Gato;Ian;6;NA;NA;NA;SP|Gato, Observador_gato|Ian
29;E03;E03;Gato;6216327;384865;23/08/2018 9:17;23/08/2018;9:17:41 a. m.;18562;3094;52;2;CamarasIMG18/E03;08230394.JPG;Gato;Ian;3;NA;NA;NA;SP|Gato, Observador_gato|Ian
30;E03;E03;Gato;6216327;384865;23/08/2018 14:07;23/08/2018;2:07:38 p. m.;17394;2899;48;2;CamarasIMG18/E03;08230427.JPG;Gato;Ian;3;NA;NA;NA;SP|Gato, Observador_gato|Ian
31;E03;E03;Gato;6216327;384865;23/08/2018 14:30;23/08/2018;2:30:45 p. m.;1385;231;4;0;CamarasIMG18/E03;08230436.JPG;Gato;Ian;3;NA;NA;NA;SP|Gato, Observador_gato|Ian
32;E03;E03;Gato;6216327;384865;23/08/2018 15:58;23/08/2018;3:58:35 p. m.;5268;878;15;1;CamarasIMG18/E03;08230457.JPG;Gato;Ian;3;NA;NA;NA;SP|Gato, Observador_gato|Ian
33;E03;E03;Gato;6216327;384865;23/08/2018 16:20;23/08/2018;4:20:34 p. m.;1316;219;4;0;CamarasIMG18/E03;08230460.JPG;Gato;Ian;3;NA;NA;NA;SP|Gato, Observador_gato|Ian
34;E03;E03;Gato;6216327;384865;23/08/2018 18:27;23/08/2018;6:27:49 p. m.;7633;1272;21;1;CamarasIMG18/E03;08230478.JPG;Gato;Ian;3;NA;NA;NA;SP|Gato, Observador_gato|Ian
35;E03;E03;Gato;6216327;384865;24/08/2018 2:23;24/08/2018;2:23:13 a. m.;28522;4754;79;3;CamarasIMG18/E03;08240481.JPG;Gato;Ian;3;NA;NA;NA;SP|Gato, Observador_gato|Ian
36;E03;E03;Gato;6216327;384865;24/08/2018 6:31;24/08/2018;6:31:03 a. m.;14867;2478;41;2;CamarasIMG18/E03;08240484.JPG;Gato;Ian;3;NA;NA;NA;SP|Gato, Observador_gato|Ian
37;E03;E03;Gato;6216327;384865;24/08/2018 7:41;24/08/2018;7:41:25 a. m.;4220;703;12;0;CamarasIMG18/E03;08240499.JPG;Gato;Ian;3;NA;NA;NA;SP|Gato, Observador_gato|Ian
38;E03;E03;Gato;6216327;384865;24/08/2018 7:52;24/08/2018;7:52:50 a. m.;683;114;2;0;CamarasIMG18/E03;08240502.JPG;Gato;Ian;3;NA;NA;NA;SP|Gato, Observador_gato|Ian
39;E03;E03;Gato;6216327;384865;24/08/2018 10:54;24/08/2018;10:54:20 a. m.;10888;1815;3;1;CamarasIMG18/E03;08240532.JPG;Gato;Ian;3;NA;NA;NA;SP|Gato, Observador_gato|Ian
40;E03;E03;Gato;6216327;384865;24/08/2018 11:17;24/08/2018;11:17:50 a. m.;1408;235;4;0;CamarasIMG18/E03;08240535.JPG;Gato;Ian;6;NA;NA;NA;SP|Gato, Observador_gato|Ian
41;E03;E03;Gato;6216327;384865;24/08/2018 12:06;24/08/2018;12:06:32 p. m.;2897;483;8;0;CamarasIMG18/E03;08240553.JPG;Gato;Ian;3;NA;NA;NA;SP|Gato, Observador_gato|Ian
42;E03;E03;Gato;6216327;384865;24/08/2018 13:21;24/08/2018;1:21:16 p. m.;4482;747;12;0;CamarasIMG18/E03;08240574.JPG;Gato;Ian;3;NA;NA;NA;SP|Gato, Observador_gato|Ian
43;E03;E03;Gato;6216327;384865;24/08/2018 13:29;24/08/2018;1:29:46 p. m.;508;85;1;0;CamarasIMG18/E03;08240580.JPG;Gato;Ian;3;NA;NA;NA;SP|Gato, Observador_gato|Ian
44;E03;E03;Gato;6216327;384865;24/08/2018 21:38;24/08/2018;9:38:15 p. m.;29307;4884;81;3;CamarasIMG18/E03;08240631.JPG;Gato;Ian;3;NA;NA;NA;SP|Gato, Observador_gato|Ian
45;E03;E03;Gato;6216327;384865;25/08/2018 6:30;25/08/2018;6:30:33 a. m.;31936;5323;89;4;CamarasIMG18/E03;08250634.JPG;Gato;Ian;3;NA;NA;NA;SP|Gato, Observador_gato|Ian
46;E03;E03;Gato;6216327;384865;25/08/2018 9:29;25/08/2018;9:29:21 a. m.;10726;1788;3;1;CamarasIMG18/E03;08250655.JPG;Gato;Ian;3;NA;NA;NA;SP|Gato, Observador_gato|Ian
47;E04;E04;Gato;6216487;385286;13/08/2018 18:26;13/08/2018;6:26:17 p. m.;0;0;0;0;CamarasIMG18/E04;08130025.JPG;Gato;Ian;3;NA;NA;NA;SP|Gato, Observador_gato|Ian
48;E04;E04;Gato;6216487;385286;15/08/2018 15:04;15/08/2018;3:04:58 p. m.;160719;26787;446;19;CamarasIMG18/E04;08150058.JPG;Gato;Ian;3;NA;NA;NA;SP|Gato, Observador_gato|Ian
49;E04;E04;Gato;6216487;385286;16/08/2018 9:42;16/08/2018;9:42:14 a. m.;67034;11172;186;8;CamarasIMG18/E04;08160073.JPG;Gato;Ian;3;NA;NA;NA;SP|Gato, Observador_gato|Ian
50;E04;E04;Gato;6216487;385286;18/08/2018 6:39;18/08/2018;6:39:16 a. m.;161820;2697;45;19;CamarasIMG18/E04;08180166.JPG;Gato;Ian;3;NA;NA;NA;SP|Gato, Observador_gato|Ian
51;E05;E05;Gato;6216213;384673;14/08/2018 7:36;14/08/2018;7:36:47 a. m.;0;0;0;0;CamarasIMG18/E05;08140031.JPG;Gato;Ian;5;NA;NA;NA;SP|Gato, Observador_gato|Ian
52;E05;E05;Gato;6216213;384673;14/08/2018 11:28;14/08/2018;11:28:15 a. m.;13875;2312;39;2;CamarasIMG18/E05;08140064.JPG;Gato;Ian;9;NA;NA;NA;SP|Gato, Observador_gato|Ian
53;E05;E05;Gato;6216213;384673;15/08/2018 16:54;15/08/2018;4:54:48 p. m.;105956;17659;294;12;CamarasIMG18/E05;08150154.JPG;Gato;Ian;3;NA;NA;NA;SP|Gato, Observador_gato|Ian
54;E06;E06;Gato;6216083;384746;30/08/2018 23:43;30/08/2018;11:43:06 p. m.;0;0;0;0;CamarasIMG18/E06;08300427.JPG;Gato;Ian;3;NA;NA;NA;Observador_gato|Ian, SP|Gato
55;E06;E06;Gato;6216083;384746;31/08/2018 6:48;31/08/2018;6:48:37 a. m.;25529;4255;71;3;CamarasIMG18/E06;08310433.JPG;Gato;Ian;2;NA;NA;NA;Observador_gato|Ian, SP|Gato
56;E06;E06;Gato;6216083;384746;31/08/2018 8:35;31/08/2018;8:35:55 a. m.;6437;1073;18;1;CamarasIMG18/E06;08310436.JPG;Gato;Ian;2;NA;NA;NA;Observador_gato|Ian, SP|Gato
57;E07;E07;Gato;6216449;384330;21/08/2018 18:59;21/08/2018;6:59:50 p. m.;0;0;0;0;CamarasIMG18/E07;08210092.JPG;Gato;Ian;3;NA;NA;NA;SP|Gato, Observador_gato|Ian
58;E07;E07;Gato;6216449;384330;22/08/2018 22:44;22/08/2018;10:44:45 p. m.;99893;16649;277;12;CamarasIMG18/E07;08220122.JPG;Gato;Ian;3;NA;NA;NA;SP|Gato, Observador_gato|Ian
59;E07;E07;Perro;6216449;384330;20/08/2018 23:08;20/08/2018;11:08:49 p. m.;0;0;0;0;CamarasIMG18/E07;08200086.JPG;Perro;NA;3;2;NA;NA;Grupo|2, SP|Perro
60;E08;E08;Gato;6216444;384620;17/08/2018 22:39;17/08/2018;10:39:22 p. m.;0;0;0;0;CamarasIMG18/E08;08170097.JPG;Gato;Ian;3;NA;NA;NA;SP|Gato, Observador_gato|Ian
