station;utm_y;utm_x;Setup_date;Retrieval_date;Problem1_from;Problem1_to;zona;station_name;hours_active;registros
E04;6216487;385286;18/08/2021;14/09/2021;;;media;Intangible Sur;643;0
E27;6217568;384846;18/08/2021;14/09/2021;;;baja;Camino prepista norte;629;0
