Station;zona;etapa;zona_etapa;Species;Cuando;hora_redondeo;time_1;time_2
E04;media;2018;media_2018;Gato_2018;18/08/2018 6:39;18/08/2018 7:00;6:39:00;0,27708333
E05;alta;2018;alta_2018;Gato_2018;14/08/2018 7:36;14/08/2018 8:00;7:36:00;0,31666667
E05;alta;2018;alta_2018;Gato_2018;14/08/2018 11:28;14/08/2018 11:00;11:28:00;0,47777778
E05;alta;2018;alta_2018;Gato_2018;15/08/2018 16:54;15/08/2018 17:00;16:54:00;0,70416667
E06;media;2018;media_2018;Gato_2018;30/08/2018 23:43;31/08/2018 0:00;23:43:00;0,98819444
E06;media;2018;media_2018;Gato_2018;31/08/2018 6:48;31/08/2018 7:00;6:48:00;0,28333333
E06;media;2018;media_2018;Gato_2018;31/08/2018 8:35;31/08/2018 9:00;8:35:00;0,35763889
E07;alta;2018;alta_2018;Gato_2018;21/08/2018 18:59;21/08/2018 19:00;18:59:00;0,79097222
E07;alta;2018;alta_2018;Gato_2018;22/08/2018 22:44;22/08/2018 23:00;22:44:00;0,94722222
E08;alta;2018;alta_2018;Gato_2018;17/08/2018 22:39;17/08/2018 23:00;22:39:00;0,94375
E08;alta;2018;alta_2018;Gato_2018;18/08/2018 6:36;18/08/2018 7:00;6:36:00;0,275
E08;alta;2018;alta_2018;Gato_2018;18/08/2018 10:34;18/08/2018 11:00;10:34:00;0,44027778
E08;alta;2018;alta_2018;Gato_2018;19/08/2018 15:04;19/08/2018 15:00;15:04:00;0,62777778
E08;alta;2018;alta_2018;Gato_2018;19/08/2018 15:51;19/08/2018 16:00;15:51:00;0,66041667
E08;alta;2018;alta_2018;Gato_2018;19/08/2018 21:11;19/08/2018 21:00;21:11:00;0,88263889
E08;alta;2018;alta_2018;Gato_2018;20/08/2018 1:35;20/08/2018 2:00;1:35:00;0,06597222
E08;alta;2018;alta_2018;Gato_2018;20/08/2018 21:36;20/08/2018 22:00;21:36:00;0,9
E08;alta;2018;alta_2018;Gato_2018;22/08/2018 1:48;22/08/2018 2:00;1:48:00;0,075
E08;alta;2018;alta_2018;Gato_2018;22/08/2018 2:40;22/08/2018 3:00;2:40:00;0,11111111
E08;alta;2018;alta_2018;Gato_2018;22/08/2018 3:48;22/08/2018 4:00;3:48:00;0,15833333
E09;alta;2018;alta_2018;Gato_2018;14/08/2018 13:57;14/08/2018 14:00;13:57:00;0,58125
E09;alta;2018;alta_2018;Gato_2018;14/08/2018 16:53;14/08/2018 17:00;16:53:00;0,70347222
E10;media;2018;media_2018;Gato_2018;30/08/2018 8:11;30/08/2018 8:00;8:11:00;0,34097222
E10;media;2018;media_2018;Gato_2018;30/08/2018 8:14;30/08/2018 8:00;8:14:00;0,34305556
E11;alta;2018;alta_2018;Gato_2018;27/08/2018 18:28;27/08/2018 18:00;18:28:00;0,76944444
E11;alta;2018;alta_2018;Gato_2018;28/08/2018 0:13;28/08/2018 0:00;0:13:00;0,00902778
E11;alta;2018;alta_2018;Gato_2018;28/08/2018 5:49;28/08/2018 6:00;5:49:00;0,24236111
E11;alta;2018;alta_2018;Gato_2018;28/08/2018 10:03;28/08/2018 10:00;10:03:00;0,41875
E11;alta;2018;alta_2018;Gato_2018;28/08/2018 15:52;28/08/2018 16:00;15:52:00;0,66111111
E11;alta;2018;alta_2018;Gato_2018;28/08/2018 19:55;28/08/2018 20:00;19:55:00;0,82986111
E11;alta;2018;alta_2018;Gato_2018;29/08/2018 2:33;29/08/2018 3:00;2:33:00;0,10625
E11;alta;2018;alta_2018;Gato_2018;31/08/2018 13:08;31/08/2018 13:00;13:08:00;0,54722222
E11;alta;2018;alta_2018;Gato_2018;31/08/2018 15:17;31/08/2018 15:00;15:17:00;0,63680556
E12;alta;2018;alta_2018;Gato_2018;20/08/2018 14:24;20/08/2018 14:00;14:24:00;0,6
E12;alta;2018;alta_2018;Gato_2018;20/08/2018 15:03;20/08/2018 15:00;15:03:00;0,62708333
E12;alta;2018;alta_2018;Gato_2018;20/08/2018 17:43;20/08/2018 18:00;17:43:00;0,73819444
E12;alta;2018;alta_2018;Gato_2018;21/08/2018 9:00;21/08/2018 9:00;9:00:00;0,375
E12;alta;2018;alta_2018;Gato_2018;21/08/2018 10:37;21/08/2018 11:00;10:37:00;0,44236111
E12;alta;2018;alta_2018;Gato_2018;21/08/2018 11:31;21/08/2018 12:00;11:31:00;0,47986111
E12;alta;2018;alta_2018;Gato_2018;21/08/2018 12:53;21/08/2018 13:00;12:53:00;0,53680556
E12;alta;2018;alta_2018;Gato_2018;21/08/2018 14:03;21/08/2018 14:00;14:03:00;0,58541667
E12;alta;2018;alta_2018;Gato_2018;21/08/2018 14:15;21/08/2018 14:00;14:15:00;0,59375
E12;alta;2018;alta_2018;Gato_2018;21/08/2018 15:52;21/08/2018 16:00;15:52:00;0,66111111
E12;alta;2018;alta_2018;Gato_2018;21/08/2018 16:39;21/08/2018 17:00;16:39:00;0,69375
E12;alta;2018;alta_2018;Gato_2018;21/08/2018 17:10;21/08/2018 17:00;17:10:00;0,71527778
E12;alta;2018;alta_2018;Gato_2018;21/08/2018 18:11;21/08/2018 18:00;18:11:00;0,75763889
E12;alta;2018;alta_2018;Gato_2018;22/08/2018 10:31;22/08/2018 11:00;10:31:00;0,43819444
E12;alta;2018;alta_2018;Gato_2018;22/08/2018 13:28;22/08/2018 13:00;13:28:00;0,56111111
E12;alta;2018;alta_2018;Gato_2018;22/08/2018 15:18;22/08/2018 15:00;15:18:00;0,6375
E12;alta;2018;alta_2018;Gato_2018;22/08/2018 15:37;22/08/2018 16:00;15:37:00;0,65069444
E12;alta;2018;alta_2018;Gato_2018;23/08/2018 0:07;23/08/2018 0:00;0:07:00;0,00486111
E12;alta;2018;alta_2018;Gato_2018;23/08/2018 8:37;23/08/2018 9:00;8:37:00;0,35902778
E12;alta;2018;alta_2018;Gato_2018;23/08/2018 12:33;23/08/2018 13:00;12:33:00;0,52291667
E12;alta;2018;alta_2018;Gato_2018;23/08/2018 17:18;23/08/2018 17:00;17:18:00;0,72083333
E12;alta;2018;alta_2018;Gato_2018;23/08/2018 17:41;23/08/2018 18:00;17:41:00;0,73680556
E12;alta;2018;alta_2018;Gato_2018;23/08/2018 18:23;23/08/2018 18:00;18:23:00;0,76597222
E12;alta;2018;alta_2018;Gato_2018;23/08/2018 19:37;23/08/2018 20:00;19:37:00;0,81736111
E12;alta;2018;alta_2018;Gato_2018;23/08/2018 19:49;23/08/2018 20:00;19:49:00;0,82569444
E12;alta;2018;alta_2018;Gato_2018;23/08/2018 23:21;23/08/2018 23:00;23:21:00;0,97291667
E12;alta;2018;alta_2018;Gato_2018;24/08/2018 1:42;24/08/2018 2:00;1:42:00;0,07083333
E12;alta;2018;alta_2018;Gato_2018;24/08/2018 13:56;24/08/2018 14:00;13:56:00;0,58055556
E12;alta;2018;alta_2018;Gato_2018;24/08/2018 19:24;24/08/2018 19:00;19:24:00;0,80833333
E14;media;2018;media_2018;Gato_2018;27/08/2018 14:55;27/08/2018 15:00;14:55:00;0,62152778
E14;media;2018;media_2018;Gato_2018;27/08/2018 15:04;27/08/2018 15:00;15:04:00;0,62777778
E14;media;2018;media_2018;Gato_2018;27/08/2018 17:15;27/08/2018 17:00;17:15:00;0,71875
E14;media;2018;media_2018;Gato_2018;28/08/2018 0:52;28/08/2018 1:00;0:52:00;0,03611111
E14;media;2018;media_2018;Gato_2018;28/08/2018 8:37;28/08/2018 9:00;8:37:00;0,35902778
E14;media;2018;media_2018;Gato_2018;28/08/2018 9:08;28/08/2018 9:00;9:08:00;0,38055556
E14;media;2018;media_2018;Gato_2018;28/08/2018 9:08;28/08/2018 9:00;9:08:00;0,38055556
E14;media;2018;media_2018;Gato_2018;28/08/2018 18:01;28/08/2018 18:00;18:01:00;0,75069444
