"","Station","Species","Cuando","hora_redondeo"
"78","E11","Gato_2018","28/08/2018 15:52","28/08/2018 16:00"
"79","E11","Gato_2018","28/08/2018 19:55","28/08/2018 20:00"
"80","E11","Gato_2018","29/08/2018 2:33","29/08/2018 3:00"
"81","E11","Gato_2018","31/08/2018 13:08","31/08/2018 13:00"
"82","E11","Gato_2018","31/08/2018 15:17","31/08/2018 15:00"
"83","E12","Gato_2018","20/08/2018 14:24","20/08/2018 14:00"
"84","E12","Gato_2018","20/08/2018 15:03","20/08/2018 15:00"
"85","E12","Gato_2018","20/08/2018 17:43","20/08/2018 18:00"
"86","E12","Gato_2018","21/08/2018 9:00","21/08/2018 9:00"
"87","E12","Gato_2018","21/08/2018 10:37","21/08/2018 11:00"
"88","E12","Gato_2018","21/08/2018 11:31","21/08/2018 12:00"
"89","E12","Gato_2018","21/08/2018 12:53","21/08/2018 13:00"
"90","E12","Gato_2018","21/08/2018 14:03","21/08/2018 14:00"
"91","E12","Gato_2018","21/08/2018 14:15","21/08/2018 14:00"
"92","E12","Gato_2018","21/08/2018 15:52","21/08/2018 16:00"
"93","E12","Gato_2018","21/08/2018 16:39","21/08/2018 17:00"
"94","E12","Gato_2018","21/08/2018 17:10","21/08/2018 17:00"
"95","E12","Gato_2018","21/08/2018 18:11","21/08/2018 18:00"
"96","E12","Gato_2018","22/08/2018 10:31","22/08/2018 11:00"
"97","E12","Gato_2018","22/08/2018 13:28","22/08/2018 13:00"
"98","E12","Gato_2018","22/08/2018 15:18","22/08/2018 15:00"
"99","E12","Gato_2018","22/08/2018 15:37","22/08/2018 16:00"
"100","E12","Gato_2018","23/08/2018 0:07","23/08/2018 0:00"
"101","E12","Gato_2018","23/08/2018 8:37","23/08/2018 9:00"
"102","E12","Gato_2018","23/08/2018 12:33","23/08/2018 13:00"
"103","E12","Gato_2018","23/08/2018 17:18","23/08/2018 17:00"
"104","E12","Gato_2018","23/08/2018 17:41","23/08/2018 18:00"
"105","E12","Gato_2018","23/08/2018 18:23","23/08/2018 18:00"
"106","E12","Gato_2018","23/08/2018 19:37","23/08/2018 20:00"
"107","E12","Gato_2018","23/08/2018 19:49","23/08/2018 20:00"
"108","E12","Gato_2018","23/08/2018 23:21","23/08/2018 23:00"
"109","E12","Gato_2018","24/08/2018 1:42","24/08/2018 2:00"
"110","E12","Gato_2018","24/08/2018 13:56","24/08/2018 14:00"
"111","E12","Gato_2018","24/08/2018 19:24","24/08/2018 19:00"
"112","E14","Gato_2018","27/08/2018 14:55","27/08/2018 15:00"
"113","E14","Gato_2018","27/08/2018 15:04","27/08/2018 15:00"
"114","E14","Gato_2018","27/08/2018 17:15","27/08/2018 17:00"
"115","E14","Gato_2018","28/08/2018 0:52","28/08/2018 1:00"
"116","E14","Gato_2018","28/08/2018 8:37","28/08/2018 9:00"
"117","E14","Gato_2018","28/08/2018 9:08","28/08/2018 9:00"
"118","E14","Gato_2018","28/08/2018 9:08","28/08/2018 9:00"
"119","E14","Gato_2018","28/08/2018 18:01","28/08/2018 18:00"
"120","E14","Gato_2018","28/08/2018 19:31","28/08/2018 20:00"
"121","E14","Gato_2018","29/08/2018 12:37","29/08/2018 13:00"
"122","E14","Gato_2018","29/08/2018 14:10","29/08/2018 14:00"
"123","E14","Gato_2018","29/08/2018 16:49","29/08/2018 17:00"
"124","E14","Gato_2018","29/08/2018 17:48","29/08/2018 18:00"
"125","E14","Gato_2018","30/08/2018 1:33","30/08/2018 2:00"
"126","E14","Gato_2018","30/08/2018 21:09","30/08/2018 21:00"
"127","E14","Gato_2018","30/08/2018 23:46","31/08/2018 0:00"
